390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720
0.00442, 0.0105, 0.019, 0.0317, 0.0465, 0.0601, 0.0677, 0.0789, 0.110, 0.17, 0.247, 0.338, 0.443, 0.553, 0.653, 0.75, 0.873, 0.973, 1, 0.972, 0.91, 0.808, 0.64, 0.500, 0.398, 0.288, 0.168, 0.0893, 0.0499, 0.0276, 0.013, 0.00627, 0.00283, 0.00134
0.00440, 0.0111, 0.0231, 0.0434, 0.0778, 0.118, 0.143, 0.166, 0.226, 0.331, 0.450, 0.577, 0.723, 0.845, 0.903, 0.942, 0.995, 1, 0.903, 0.744, 0.562, 0.372, 0.213, 0.117, 0.0687, 0.0395, 0.0205, 0.0101, 0.00514, 0.00264, 0.00133, 0.000626, 0, 0
0.0507, 0.142, 0.319, 0.580, 0.862, 1, 0.899, 0.737, 0.615, 0.476, 0.315, 0.18, 0.0979, 0.0466, 0.0202, 0.00899, 0.00438, 0.00215, 0.000969, 0.000402, 0.000157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
